date	deaths	accumulative
26/01/2020	0	0
27/01/2020	0	0
28/01/2020	0	0
29/01/2020	0	0
30/01/2020	0	0
31/01/2020	0	0
01/02/2020	0	0
02/02/2020	0	0
03/02/2020	0	0
04/02/2020	0	0
05/02/2020	0	0
06/02/2020	0	0
07/02/2020	0	0
08/02/2020	0	0
09/02/2020	0	0
10/02/2020	0	0
11/02/2020	0	0
12/02/2020	0	0
13/02/2020	0	0
14/02/2020	0	0
15/02/2020	0	0
16/02/2020	0	0
17/02/2020	0	0
18/02/2020	0	0
19/02/2020	0	0
20/02/2020	0	0
21/02/2020	0	0
22/02/2020	0	0
23/02/2020	0	0
24/02/2020	0	0
25/02/2020	0	0
26/02/2020	0	0
27/02/2020	0	0
28/02/2020	0	0
29/02/2020	0	0
01/03/2020	0	0
02/03/2020	0	0
03/03/2020	0	0
04/03/2020	0	0
05/03/2020	0	0
06/03/2020	0	0
07/03/2020	0	0
08/03/2020	0	0
09/03/2020	0	0
10/03/2020	0	0
11/03/2020	0	0
12/03/2020	0	0
13/03/2020	0	0
14/03/2020	0	0
15/03/2020	0	0
16/03/2020	0	0
17/03/2020	0	0
18/03/2020	0	0
19/03/2020	0	0
20/03/2020	1	1
21/03/2020	0	1
22/03/2020	0	1
23/03/2020	0	1
24/03/2020	3	4
25/03/2020	1	5
26/03/2020	5	10
27/03/2020	2	12
28/03/2020	1	13
29/03/2020	3	16
30/03/2020	1	17
31/03/2020	4	21
01/04/2020	7	28
02/04/2020	10	38
03/04/2020	5	43
04/04/2020	7	50
05/04/2020	6	56
06/04/2020	7	63
07/04/2020	7	70
08/04/2020	9	79
09/04/2020	8	87
10/04/2020	8	95
11/04/2020	6	101
12/04/2020	7	108
13/04/2020	7	115
14/04/2020	8	123
15/04/2020	13	136
16/04/2020	7	143
17/04/2020	9	152
18/04/2020	11	163
19/04/2020	8	171
20/04/2020	6	177
21/04/2020	9	186
22/04/2020	3	189
23/04/2020	4	193
24/04/2020	3	196
25/04/2020	3	199
26/04/2020	2	201
27/04/2020	4	205
28/04/2020	5	210
29/04/2020	6	216
30/04/2020	6	222
01/05/2020	4	226
02/05/2020	3	229
03/05/2020	3	232
04/05/2020	3	235
05/05/2020	2	237
06/05/2020	1	238
07/05/2020	1	239
08/05/2020	6	245
09/05/2020	2	247
10/05/2020	5	252
11/05/2020	5	257
12/05/2020	3	260
13/05/2020	3	263
14/05/2020	2	265
15/05/2020	0	265
16/05/2020	3	268
17/05/2020	4	272
18/05/2020	3	275
19/05/2020	2	277
20/05/2020	1	278
21/05/2020	0	278
22/05/2020	0	278
23/05/2020	0	278
24/05/2020	1	279
25/05/2020	2	281
26/05/2020	0	281
27/05/2020	2	283
28/05/2020	1	284
29/05/2020	0	284
30/05/2020	0	284
31/05/2020	0	284
01/06/2020	3	287
02/06/2020	2	289
03/06/2020	1	290
04/06/2020	0	290
05/06/2020	1	291
06/06/2020	4	295
07/06/2020	2	297
08/06/2020	0	297
09/06/2020	1	298
10/06/2020	1	299
11/06/2020	0	299
12/06/2020	0	299
13/06/2020	1	300
14/06/2020	2	302
15/06/2020	0	302
16/06/2020	1	303
17/06/2020	0	303
18/06/2020	0	303
19/06/2020	1	304
20/06/2020	1	305
21/06/2020	0	305
22/06/2020	1	306
23/06/2020	1	307
24/06/2020	0	307
25/06/2020	4	311
26/06/2020	3	314
27/06/2020	3	317
28/06/2020	1	318
29/06/2020	0	318
30/06/2020	1	319
01/07/2020	3	322
02/07/2020	1	323
03/07/2020	2	325
04/07/2020	4	329
05/07/2020	1	330
06/07/2020	6	336
07/07/2020	5	341
08/07/2020	5	346
09/07/2020	3	349
10/07/2020	4	353
11/07/2020	4	357
12/07/2020	6	363
13/07/2020	3	366
14/07/2020	5	371
15/07/2020	5	376
16/07/2020	9	385
17/07/2020	10	395
18/07/2020	7	402
19/07/2020	7	409
20/07/2020	9	418
21/07/2020	9	427
22/07/2020	5	432
23/07/2020	14	446
24/07/2020	6	452
25/07/2020	7	459
26/07/2020	11	470
27/07/2020	5	475
28/07/2020	8	483
29/07/2020	7	490
30/07/2020	13	503
